chr	chr_num
CM023253.1	LG001
CM023254.1	LG002
CM023255.1	LG003
CM023256.1	LG004
CM023257.1	LG005
CM023258.1	LG006
CM023259.1	LG007
CM023260.1	LG008
CM023261.1	LG009
CM023262.1	LG010
CM023263.1	LG011
CM023264.1	LG012
CM023265.1	LG013
CM023266.1	LG014
CM023267.1	LG015
CM023268.1	LG016
CM023269.1	LG017
CM023270.1	LG018
CM023271.1	LG019
CM023272.1	LG020
CM023273.1	LG021
CM023274.1	LG022
CM023275.1	LG023
CM023276.1	LG024
CM023277.1	LG025
CM023278.1	LG026
CM023279.1	LG027
CM023280.1	LG028
CM023281.1	LG029
CM023282.1	LG030
CM023283.1	LG031
CM023284.1	LG032
CM023285.1	LG033
CM023286.1	LG034
CM023287.1	LG035
CM023288.1	LG036
CM023289.1	LG037
CM023290.1	LG038
CM023291.1	LG039
CM023292.1	LG040
CM023293.1	LG041
CM023294.1	LG042
CM023295.1	LG043
CM023296.1	LG044
CM023297.1	LG045
CM023298.1	LG046
CM023299.1	LG047
CM023300.1	LG048
CM023301.1	LG049
CM023302.1	LG050
CM023303.1	LG051
CM023304.1	LG052
CM023305.1	LG053
CM023306.1	LG054
CM023307.1	LG055
CM023308.1	LG056
CM023309.1	LG057
CM023310.1	LG058
CM023311.1	LG059
CM023312.1	LG060
CM023313.1	LG061
CM023314.1	LG062
CM023315.1	LG063
CM023316.1	LG064
CM023317.1	LG065
CM023318.1	LG066
CM023319.1	LG067
CM023320.1	LG068
CM023321.1	LG069
CM023322.1	LG070
CM023323.1	LG071
CM023324.1	LG072
CM023325.1	LG073
CM023326.1	LG074
CM023327.1	LG075
CM023328.1	LG076
CM023329.1	LG077
CM023330.1	LG078
CM023331.1	LG079
CM023332.1	LG080
CM023333.1	LG081
CM023334.1	LG082
CM023335.1	LG083
CM023336.1	LG084
CM023337.1	LG085
CM023338.1	LG086
CM023339.1	LG087
CM023340.1	LG088
CM023341.1	LG089
CM023342.1	LG090
CM023343.1	LG091
CM023344.1	LG092
CM023345.1	LG093
CM023346.1	LG094
CM023347.1	LG095
CM023348.1	LG096
CM023349.1	LG097
CM023350.1	LG098
CM023351.1	LG099
CM023352.1	LG100
CM023353.1	LG101
CM023354.1	LG102
CM023355.1	LG103
CM023356.1	LG104
