ABLG,AltID,CommonName,SpeciesName,CollectionDate,notSEAK,Locality,Loc,GeneralLoc,StartLatDD,StartLonDD,k3_A,k3_B,k3_C,k3_inferred_pop,k4_A,k4_B,k4_C,k4_D,k4_inferred_pop,k5_A,k5_B,k5_C,k5_D,k5_E,k5_inferred_pop
5328,RKADAK15_2,Red King Crab,Paralithodes camtschaticus,9/20/2015,1,"Adak Island, Aleutian Islands",AI,Aleutian Islands,,,0,1,0,B,0,0,1,0,C,0,0,0,0,1,E
5331,RKADAK15_5,Red King Crab,Paralithodes camtschaticus,9/20/2015,1,"Adak Island, Aleutian Islands",AI,Aleutian Islands,,,0,1,0,B,0,0,1,0,C,0,0,0,0,1,E
5333,RKADAK15_7,Red King Crab,Paralithodes camtschaticus,9/20/2015,1,"Adak Island, Aleutian Islands",AI,Aleutian Islands,,,0,1,0,B,0,0,1,0,C,0,0,0,0,1,E
5334,RKADAK15_8,Red King Crab,Paralithodes camtschaticus,9/20/2015,1,"Adak Island, Aleutian Islands",AI,Aleutian Islands,,,0,1,0,B,0.186,0,0.814,0,C,0,0,0,0,1,E
5339,RKADAK15_13,Red King Crab,Paralithodes camtschaticus,9/20/2015,1,"Adak Island, Aleutian Islands",AI,Aleutian Islands,,,0,1,0,B,0,0,1,0,C,0,0,0,0,1,E
5343,RKADAK15_17,Red King Crab,Paralithodes camtschaticus,9/20/2015,1,"Adak Island, Aleutian Islands",AI,Aleutian Islands,,,0,1,0,B,0,0,1,0,C,0,0,0,0,1,E
5345,RKADAK15_19,Red King Crab,Paralithodes camtschaticus,9/20/2015,1,"Adak Island, Aleutian Islands",AI,Aleutian Islands,,,0,1,0,B,0,0,1,0,C,0,0,0,0,1,E
5346,RKBBAY08_75,Red King Crab,Paralithodes camtschaticus,11/15/2008,1,"Bristol Bay, Bering Sea",EastBering,Bering Sea,56.4519,-161.8869,0.648,0.221,0.131,A,0.146,0.564,0.212,0.078,B,0.607,0.028,0,0.182,0.183,A
5348,RKBBAY08_77,Red King Crab,Paralithodes camtschaticus,11/15/2008,1,"Bristol Bay, Bering Sea",EastBering,Bering Sea,56.4519,-161.8869,0.649,0.238,0.112,A,0.092,0.596,0.255,0.057,B,0.351,0.032,0.243,0.22,0.155,A
5349,RKBBAY08_78,Red King Crab,Paralithodes camtschaticus,11/15/2008,1,"Bristol Bay, Bering Sea",EastBering,Bering Sea,56.4519,-161.8869,0.635,0.242,0.123,A,0.128,0.559,0.241,0.071,B,0.454,0.037,0.142,0.185,0.182,A
5351,RKBBAY08_80,Red King Crab,Paralithodes camtschaticus,11/15/2008,1,"Bristol Bay, Bering Sea",EastBering,Bering Sea,56.4519,-161.8869,0.649,0.25,0.101,A,0.099,0.591,0.263,0.047,B,0.399,0.015,0.219,0.189,0.178,A
5369,RKBBAY01_5,Red King Crab,Paralithodes camtschaticus,9/26/2001,1,"Bristol Bay, Bering Sea",EastBering,Bering Sea,58.33,-158.07,0.664,0.244,0.092,A,0.137,0.579,0.245,0.039,B,0.452,0.005,0.174,0.188,0.181,A
5371,RKBBAY01_7,Red King Crab,Paralithodes camtschaticus,9/26/2001,1,"Bristol Bay, Bering Sea",EastBering,Bering Sea,58.33,-158.07,0.686,0.206,0.108,A,0.117,0.615,0.217,0.051,B,0.421,0.019,0.224,0.209,0.127,A
5378,RKBBAY01_14,Red King Crab,Paralithodes camtschaticus,9/26/2001,1,"Bristol Bay, Bering Sea",EastBering,Bering Sea,58.33,-158.07,0.641,0.254,0.105,A,0.13,0.566,0.251,0.052,B,0.418,0.02,0.183,0.188,0.19,A
