ABLG	population	Loc	GeneralLoc	StartLatDD	StartLonDD	k3_inferred_pop	k4_inferred_pop	k5_inferred_pop
5328	Ada2015	AI	Aleutian Islands	NA	NA	B	C	E
5331	Ada2015	AI	Aleutian Islands	NA	NA	B	C	E
5333	Ada2015	AI	Aleutian Islands	NA	NA	B	C	E
5334	Ada2015	AI	Aleutian Islands	NA	NA	B	C	E
5339	Ada2015	AI	Aleutian Islands	NA	NA	B	C	E
5343	Ada2015	AI	Aleutian Islands	NA	NA	B	C	E
5345	Ada2015	AI	Aleutian Islands	NA	NA	B	C	E
5346	Bri2008	EastBering	Bering Sea	56.4519	-161.8869	A	B	A
5348	Bri2008	EastBering	Bering Sea	56.4519	-161.8869	A	B	A
5349	Bri2008	EastBering	Bering Sea	56.4519	-161.8869	A	B	A
5351	Bri2008	EastBering	Bering Sea	56.4519	-161.8869	A	B	A
5369	Bri2001	EastBering	Bering Sea	58.33	-158.07	A	B	A
5371	Bri2001	EastBering	Bering Sea	58.33	-158.07	A	B	A
5378	Bri2001	EastBering	Bering Sea	58.33	-158.07	A	B	A
5384	Bri2001	EastBering	Bering Sea	58.33	-158.07	A	B	A
5385	Bri2001	EastBering	Bering Sea	58.33	-158.07	A	B	A
5387	Bri2001	EastBering	Bering Sea	58.33	-158.07	A	B	A
5405	Kam2001	GOA	Gulf of Alaska	59.23283	-152.8203	A	B	A
5407	Kam2001	GOA	Gulf of Alaska	59.23283	-152.8203	A	B	A
5414	Kam2001	GOA	Gulf of Alaska	59.23283	-152.8203	A	B	A
5416	Kam2001	GOA	Gulf of Alaska	59.23283	-152.8203	A	B	A
5418	Kam2001	GOA	Gulf of Alaska	59.23283	-152.8203	A	B	A
5419	Kam2001	GOA	Gulf of Alaska	59.23283	-152.8203	A	B	A
5425	Kam2001	GOA	Gulf of Alaska	59.23283	-152.8203	A	A	A
5432	Kam2001	GOA	Gulf of Alaska	59.23283	-152.8203	A	B	A
5473	Uga2002	GOA	Gulf of Alaska	NA	NA	A	B	A
5474	Uga2002	GOA	Gulf of Alaska	NA	NA	A	B	A
5479	Uga2002	GOA	Gulf of Alaska	NA	NA	A	B	A
